Time	UE Id	DistanceX	DistanceY
24.2	0	-103.737	-38.7602
24.2	1	-143.709	-32.7938
24.2	2	-165.301	-28.0072
24.3	0	-103.68	-38.9714
24.3	1	-143.947	-32.4733
24.3	2	-165.002	-28.2294
24.4	0	-103.622	-39.1826
24.4	1	-144.216	-32.311
24.4	2	-164.686	-28.3889
24.5	0	-103.564	-39.3938
24.5	1	-144.489	-32.1732
24.5	2	-164.369	-28.5484
24.6	0	-103.556	-39.1874
24.6	1	-144.761	-32.0354
24.6	2	-164.107	-28.5752
24.7	0	-103.56	-38.8768
24.7	1	-144.744	-31.7985
24.7	2	-163.944	-28.3563
24.8	0	-103.563	-38.5662
24.8	1	-144.529	-31.4944
24.8	2	-163.781	-28.1374
24.9	0	-103.395	-38.4466
24.9	1	-144.314	-31.1902
24.9	2	-163.618	-27.9185
25	0	-103.102	-38.4648
25	1	-144.08	-30.9723
25	2	-163.509	-27.5989
25.1	0	-102.809	-38.4829
25.1	1	-143.844	-30.7629
25.1	2	-163.425	-27.2329
25.2	0	-102.557	-38.4506
25.2	1	-143.609	-30.5536
25.2	2	-163.341	-26.8816
25.3	0	-102.502	-38.1765
25.3	1	-143.701	-30.7468
25.3	2	-163.288	-27.1557
25.4	0	-102.447	-37.9025
25.4	1	-143.91	-31.0821
25.4	2	-163.236	-27.4297
25.5	0	-102.392	-37.6284
25.5	1	-144.024	-31.3469
25.5	2	-163.183	-27.7038
25.6	0	-102.518	-37.6782
25.6	1	-143.776	-31.3417
25.6	2	-163.067	-27.9199
25.7	0	-102.766	-37.9479
25.7	1	-143.528	-31.3364
25.7	2	-162.867	-28.0621
25.8	0	-103.014	-38.2177
25.8	1	-143.279	-31.3311
25.8	2	-162.667	-28.2042
25.9	0	-103.382	-38.3375
25.9	1	-143.041	-31.3543
25.9	2	-162.468	-28.3463
26	0	-103.768	-38.4343
26	1	-142.844	-31.5087
26	2	-162.447	-28.5052
26.1	0	-104.114	-38.5508
26.1	1	-142.648	-31.6631
26.1	2	-162.746	-28.6941
26.2	0	-104.387	-38.7032
26.2	1	-142.451	-31.8176
26.2	2	-163.046	-28.8831
26.3	0	-104.661	-38.8557
26.3	1	-142.239	-31.9384
26.3	2	-163.05	-29.044
26.4	0	-104.93	-39.0148
26.4	1	-141.949	-31.9007
26.4	2	-162.796	-29.1806
26.5	0	-105.175	-39.2085
26.5	1	-141.659	-31.863
26.5	2	-162.543	-29.3171
26.6	0	-105.42	-39.4023
26.6	1	-141.369	-31.8253
26.6	2	-162.285	-29.4312
26.7	0	-105.665	-39.596
26.7	1	-141.069	-31.7393
26.7	2	-161.968	-29.2165
26.8	0	-105.838	-39.3834
26.8	1	-140.765	-31.6376
26.8	2	-161.65	-29.0018
26.9	0	-106.009	-39.1538
26.9	1	-140.46	-31.5358
26.9	2	-161.62	-28.935
27	0	-106.179	-38.9242
27	1	-140.372	-31.6387
27	2	-161.935	-29.0464
27.1	0	-106.224	-38.8818
27.1	1	-140.407	-31.8589
27.1	2	-162.251	-29.1578
27.2	0	-106.124	-39.0579
27.2	1	-140.442	-32.0792
27.2	2	-162.531	-29.2789
27.3	0	-106.023	-39.234
27.3	1	-140.477	-32.2994
27.3	2	-162.772	-29.4112
27.4	0	-105.923	-39.41
27.4	1	-140.483	-32.4356
27.4	2	-163.012	-29.5435
27.5	0	-105.823	-39.5861
27.5	1	-140.324	-32.1027
27.5	2	-163.252	-29.6758
27.6	0	-105.658	-39.5661
27.6	1	-140.166	-31.7698
27.6	2	-163.223	-29.4713
27.7	0	-105.437	-39.3706
